sample	soilwat	bd	loi	som	ph
A001-15	21.64099308	0.162877093	57.22714669	42.77285331	4.5
A004-30	20.62452373	0.805871233	94.40422141	5.59577859	5.14
A005-42	21.25394879	0.128043629	37.14488124	62.85511876	4.5
A006-55	19.4014724	0.233161331	52.19725804	47.80274196	4.32
A007-69	7.018481213	1.014737692	97.64072659	2.359273411	4.88
A008-82	16.30994386	0.96496888	91.82379501	8.176204985	5.19
A009-93	17.77743496	0.234733817	48.76969698	51.23030302	4.27
A003-103	19.38880882	0.148498257	26.82480337	73.17519663	4.53
A010-104	124.0458463	0.189778593	63.5335524	36.4664476	5.06
A002-466	22.91689524	0.189888593	97.23636754	2.763632456	5.32
